,index,Location_Coordinates,Location,Hospital_Name,State,District
5482,10904,"12.933219, 77.5815604","132/18, 22nd Cross, Jayanagar, 3 rd Block",Garden City Hospital,Karnataka,Bengaluru Urban
5483,10905,"12.974333, 77.542641","91, Magadi Chord Road",Gayathri Hospital,Karnataka,Bengaluru Urban
5484,10908,"12.953321, 77.531756","44-45/2, 2nd Cross Raja Ram Mohan",HCG Bengaluru Institute Of Oncology,Karnataka,Bengaluru Urban
5485,10909,"12.9350101, 77.6312173","88, 17th, A Main, 2nd Cross, 5th Block, Koramangala","HCG, Koramangala",Karnataka,Bengaluru Urban
5486,10910,"12.927046, 77.579154","240, 32nd Cross, 7 Th Block",Hi Tech Kidney Stone Hospital,Karnataka,Bengaluru Urban
5487,10911,"12.9917169, 77.5664805","No.6/7, Crescent Road Cross, Kumar Park East",Hitech Kidney Stone Hospital,Karnataka,Bengaluru Urban
5488,10912,"13.1004849, 77.5940134","74/2, Jarakabande Kaval (Behind CRPF Campus), Post Attur, Via Yelahanka",I-Aim Healthcare Centre,Karnataka,Bengaluru Urban
5489,10914,"12.9993935, 77.540421","25, 26, 27, 1st Cross Block",Jayashree Multispeciality Hospital,Karnataka,Bengaluru Urban
5490,10915,"12.98061, 77.538619","No.11/2, Magadi Main Road, Agrahara Dasarahalli",Jeevani Health And Medicare Private Limited,Karnataka,Bengaluru Urban
5491,10918,"12.9656578, 77.5652661","89, 7th cross, N R Colony, Near Bull temple",Karthik Nethralaya,Karnataka,Bengaluru Urban
5492,10919,"13.0082512, 77.5632061","No.47, 11th Main, 17th Cross, Malleshwaram",Kids Clinic India Pvt.Ltd.- Cloudnine,Karnataka,Bengaluru Urban
5493,10921,"12.9204899, 77.5515107","237 / 37, 10 Th Main, Nagendra Block",Kusuma Hospital,Karnataka,Bengaluru Urban
5494,10922,"12.9785849, 80.2320987","No - 65, 1st Main, Seshadripuram",Lalitha Healthcare Pvt.Ltd.(A Fortis Network Hospital),Karnataka,Bengaluru Urban
5495,10924,"13.0344064, 77.5682976","M S R I T Nagar, New Bel Road",M.S. Ramaiah Memorial Hospitals(Only For Corporate),Karnataka,Bengaluru Urban
5496,10925,"12.945783, 77.59732","5/2, 13th Cross, Hosur Road, Wilson Garden",M.G. Speciality Health Care (A Unit Of Mgmi Hospitals(India) Pvt Ltd),Karnataka,Bengaluru Urban
5497,10926,"13.0410322, 77.3914939","193/4m Sondekoppa Circle, N.H.-4, Nelamangala",M.S. Ramaiah Harsha Hospital,Karnataka,Bengaluru Urban
5498,10927,"17.3337789, 77.9034879",M.S.Ramaiah Memorial Hospital,M.S.R.Narayana Hrudayalaya,Karnataka,Bengaluru Urban
5499,10929,"12.9931308, 77.5728546","No.02, Sirur Park Road, Seshadripuram",Mahaveer Eye Hospital Private Limited,Karnataka,Bengaluru Urban
5500,10930,"12.9851615, 77.5803852","31/32, Crescent Road",Mallige Medical Centre,Karnataka,Bengaluru Urban
5501,10933,"12.946587, 77.5722657","No-9/91, Govindappa Road, Basavana Gudi",Medikeris Superspecaility Ent Centre,Karnataka,Bengaluru Urban
5502,10937,"36.778261, -119.4179324","Ca Site No 1, Basant Health Centre Building, 18th Main, Opposite Hsr Club",Narayana Multispeciality Hospital(A Unit Of Narayana Hrudayalaya Pvt Ltd),Karnataka,Bengaluru Urban
5503,10939,"13.011531, 77.552046","No.121/C, Chord Road, Rajajinagar 1st `R`Block",Narayana Nethralaya\n,Karnataka,Bengaluru Urban
5504,10941,"12.933267, 77.584489","No.1537/1, 9th Main Road, 3rd Block, Jayanagar",Nature Cure Hospital,Karnataka,Bengaluru Urban
5505,10942,"28.4689118, 77.1411003","8, V Phase, 6th Cross, New Town",Neha Prakash Hospital,Karnataka,Bengaluru Urban
5506,10944,"12.925255, 77.577359","256/14, Kanakapura Main Road,\n7th Block, Jayanagar",Nethradhama Super Speciality Eye Hospital,Karnataka,Bengaluru Urban
5507,10945,"12.97344, 77.635628","66, Indiranagar Double Road, Hal 2nd Stage",Nethradhama Superspeciality Eye Hospital,Karnataka,Bengaluru Urban
5508,10946,"13.0067174, 77.5814238","No 222/14, 5 Th Main Bellary Road, Sadashivnagar","Nova Medical Center, Sadashiv Nagar",Karnataka,Bengaluru Urban
5509,10947,"12.9091748, 77.597458","C.A.6, 11th Cross, 15th Main, Padmanabhanagar",Nu Hospitals,Karnataka,Bengaluru Urban
5510,10949,"13.0122294, 77.6050075","Dr.M.C.Modi Road, Mahalakshmipuram",Padmabhushan Dr.M.C.Modi Charitable Eye Hospital,Karnataka,Bengaluru Urban
5511,10950,"12.9617571, 77.5216056","611 /612, Nagarabhavi Main Road","Panacea Hospital, Nagarabhavi",Karnataka,Bengaluru Urban
5512,10951,"12.9935833, 77.5342741","334, 3rd Stage, 4th Block, Basaveshwaranagar",Panacea Hospitals Private Limited,Karnataka,Bengaluru Urban
5513,10952,"12.8594543, 77.5917489","12/13, Bilekahalli, Bannerghatta Road",Parimala Speciality Hospital,Karnataka,Bengaluru Urban
5514,10953,"13.1582339, 77.32569","2, Tumkur Road, Goreguntepalya",People Tree Hospitals,Karnataka,Bengaluru Urban
5515,10955,"12.919731, 77.575085","504, 40th Cross Road, Jayanagar",Prabha Eye Clinic and Research Centre,Karnataka,Bengaluru Urban
5516,10958,"12.9216826, 77.6200305","90-D, Bommanahalli Circle, Hosur road",Prashanth Hospital,Karnataka,Bengaluru Urban
5517,10959,"12.9978747, 77.546252","No.877, Modi Hospital Road, West of Chord Road, II Stage Extension",Pristine Hospital,Karnataka,Bengaluru Urban
5518,10961,"12.9862578, 77.5374814","52 /10 80 Ft Road, Khb Colony Basaveshwaranagar",Punya Hospital,Karnataka,Bengaluru Urban
5519,10964,"12.9861693, 77.5348568","141/142, 1st Main, Krishnandanagar, Khb Colony",Raksha Multispeciality Hospital,Karnataka,Bengaluru Urban
5520,10965,"12.9594745, 77.560953","No.19, 2nd Main Road, 1st Phase, Peenya Industrial Area",Ravi Kirloskar Memorial Hospital,Karnataka,Bengaluru Urban
5521,10967,"12.9567051, 77.5626974","122, 5th Main Road, Chamarajpet",Retina Institute Of Karnatakaa,Karnataka,Bengaluru Urban
5522,10968,"12.9254533, 77.546757","DSI, Shavige Malleshwara Hills, Kumaraswamy Layout, Banashankari",Sagar Hospitals,Karnataka,Bengaluru Urban
5523,10972,"13.0073714, 77.5601893","111 Railway Parallel Road, 7 Th Cross, Kumara Park (W)",Samprathi Eye Hospital And Squint Centre,Karnataka,Bengaluru Urban
5524,10974,"12.9187631, 77.6449186","85/1, 19th Main Hsr Layout, Sector 1",Sankalp Netralaya and Polyclinic,Karnataka,Bengaluru Urban
5525,10975,"12.9583404, 77.7155779","Varthur Main Road, Kundalahalli Gate, Marahahalli-White Field Road",Sankara Eye Hospital,Karnataka,Bengaluru Urban
5526,10977,"13.0730767, 77.5030755","15, Hesaraghatta Main Road",Sapthagiri Hospital,Karnataka,Bengaluru Urban
5527,10978,"13.0506057, 77.5118463","39/2, Yash Avenue, 8th Mile Circle, Nh 4, T.Dasarahalli",Sarojini Hospital,Karnataka,Bengaluru Urban
5528,10979,"12.9714646, 77.5815375","27th Cross, Sevakshetra Hospital Road, B.S.K.II Stage",Sevakshetra Hospital,Karnataka,Bengaluru Urban
5529,10980,"12.9236955, 77.5513525","6, Thimmaiah Layout, 1st Main 3rd D Cross, 3rd Stage, 2nd Block",Shanbhag Nursing Home,Karnataka,Bengaluru Urban
5530,10983,"12.967283, 77.5447472","No.10, Pipeline Road, RPC Layout, Vijayanagar, 2nd Stage",Shree Kalabyraveswara Swamy Ayurveda Medical College And Hospital,Karnataka,Bengaluru Urban
5531,10984,"12.9172801, 77.5850057","523, 10th Main,\n45th Cross, 5th Block, Jayanagar",Shri Krishna Sevashrama Hospital,Karnataka,Bengaluru Urban
5532,10988,"12.9723418, 77.5147716","8, G Block, 60 Feet Road",Sri Sai North Side Hospital,Karnataka,Bengaluru Urban
5533,10989,"29.2660313, 47.8625634",No.6 J.C.Industrial Area,Sri Sai Ram Hospital,Karnataka,Bengaluru Urban
5534,10991,"12.9325662, 77.6125214","86 Hosur Main Road, Madivala",Sri Venkateshwara Hospitals,Karnataka,Bengaluru Urban
5535,10993,"12.9288874, 77.6131577","St.Johs Medical College Hospital, Johnnagar",St. Johns Hospital,Karnataka,Bengaluru Urban
5536,10994,"12.9713221, 77.5869159","Office No-05, Nrupathunga Road",St. Martha'S Heart Center (Managed By Narayana Health),Karnataka,Bengaluru Urban
5537,10995,"12.9309785, 77.6199608","John nagar, Koramangala",St. JohnS Medical College Hospital\n,Karnataka,Bengaluru Urban
5538,10996,"12.969805, 77.587251",Nrupathunga Road,St. Marthas Hospital,Karnataka,Bengaluru Urban
5539,10997,"12.9624895, 77.611882","No.1, Neelasandra Road",St. PhilominaS Hospital,Karnataka,Bengaluru Urban
5540,10998,"13.0061399, 77.5537558",Rajajinagar,St. Theresa'S Hospital,Karnataka,Bengaluru Urban
5541,11000,"12.988145, 77.560033","1A/87, Dr.Rajkumar Road, 4th N Block, Rajajinagar",Suguna Hospital,Karnataka,Bengaluru Urban
5542,11001,"13.0267169, 77.6312652","24, Brindaban Nagar, 80 Feet Main Road, Mathikere",Sun Orthopaedic Hospital,Karnataka,Bengaluru Urban
5543,11003,"12.937683, 77.580401","202, Rashtriya Vidyalaya road,\nBasavanagudi",The Bengaluru Hospital,Karnataka,Bengaluru Urban
5544,11004,"12.9233078, 77.672381","79/5, Outer Ring Road, Bellandur",The Eye Foundation,Karnataka,Bengaluru Urban
5545,11005,"12.9436431, 77.5799234","Near R.V.Teachers College Circle, Basavanagudi",Trinity Hospital And  Heart Foundation,Karnataka,Bengaluru Urban
5546,11006,"12.9174767, 77.5460289","205-4c, 4th Cross, 3 Road Block","Vasan Eye Care Hospital, Banaswadi",Karnataka,Bengaluru Urban
5547,11008,"12.9618305, 77.6378198","1127/A, 7th Sector, Near Bda Complex","Vasan Eye Care Hospital, Hsr Layout",Karnataka,Bengaluru Urban
5548,11009,"12.9290883, 77.5819886","No.28 and  29, 7 Th Main Diagonal Road, Jayanagar","Vasan Eye Care Hospital, Jayanagar",Karnataka,Bengaluru Urban
5549,11010,"12.9387563, 77.6260423","No.897/C, 80 Feet Road, 6th Block, Koramangala","Vasan Eye Care Hospital, Koramangala",Karnataka,Bengaluru Urban
5550,11011,"12.9167541, 77.6111065","No.25/5 D, Outer Ring Road, Marathalli","Vasan Eye Care Hospital, Marathalli",Karnataka,Bengaluru Urban
5551,11012,"12.9746047, 77.514911","No-5, 20 Th Cross, Malagala Under Pass Ring Road","Vasan Eye Care Hospital, Nagarabhavi",Karnataka,Bengaluru Urban
5552,11013,"13.0150223, 77.6511543","No.533, 108 Bus Stop, Ganganagar","Vasan Eye Care Hospital, R.T.Nagar",Karnataka,Bengaluru Urban
5553,11015,"12.9451479, 77.5977548","483, 16 Th Cross, 8 Th Main","Vasan Eye Care Hospital, Rajarajeswari Nagar",Karnataka,Bengaluru Urban
5554,11017,"13.0000884, 77.5670569","Super Speciality Otology Centre, No.1, 9th Cross Malleshwaram",Vijaya Ent Care Centre,Karnataka,Bengaluru Urban
5555,11019,"12.8561618, 77.5889291","3, Gottigere, Bannerghatta Main Road",Vijayashree Hospitals,Karnataka,Bengaluru Urban
5556,11020,"13.0296311, 77.5911303","110, 1st Main, Sbm Colony, Bsk 1st Stage Hanumantha Nagar",Vinayaka Hospital,Karnataka,Bengaluru Urban
5557,11021,"12.9247108, 77.5438845","No.10/4, 3rd Main Road, Hanumanthanagar",Vishwabharathi Hospital Private Limited,Karnataka,Bengaluru Urban
5558,11023,"12.9722607, 77.7175003","82, Epip Area, White Field",Vydehi Institute Of Medical Sciencs And  Research Center,Karnataka,Bengaluru Urban
5559,11024,"12.9556983, 77.7112837","2371 / 3, Hal Airport Varthur Road",Yashomati Hospitals Pvt.Ltd.,Karnataka,Bengaluru Urban
5560,11025,"12.9607569, 77.594633","25, Andree Road, Shanti Nagar",Yellamma Dasappa Hospital,Karnataka,Bengaluru Urban
5561,11026,"13.014682, 77.6702166","No.1, 1 Cross Rananurthy Road",Zion Hospital And Research Centre Pvt.Ltd.,Karnataka,Bengaluru Urban
5562,11049,"13.2846993, 77.6077865","Kakkalli Road, Kodigehalli Post, Doddaballapur Taluk, Bengaluru Rural","Atreya Ayurvedic Medical College, Hospital and Research Centre",Karnataka,Bengaluru Rural
5563,11050,"18.0503666, 77.2183652","Lecturer Colony Road, Bhalki",Talwade Hospital Bhalki,Karnataka,Bidar
5564,11053,"17.9205166, 77.5101835",Udgir Road,Bidar Institute Of Medical Sceince-Teaching Hospital,Karnataka,Bidar
5565,11056,"17.9148799, 77.5046101",Bidar Tq,Government District Hospital,Karnataka,Bidar
5566,11057,"17.9155612, 77.514822","H No-8-10-204, Ganesh Maidan, Near Nehru Stadiumbidar",Kamtikar Hospital,Karnataka,Bidar
5567,11060,"17.915585, 77.5102644",K.E.B. Road,Pande Nursing Home,Karnataka,Bidar
5568,11062,"17.9153068, 77.5129632","8-11-5, Nandi Colony, Keb Road",Sachin Nursing Home,Karnataka,Bidar
5569,11066,"17.9148799, 77.5046101","Manikgiri Nivas,H.No. 8-9-200,Guru Nanak Jhira Road,Gurunagar Colony,Bidar",Sri Siddaruda Surgical and Maternity Nursing Home,Karnataka,Bidar
5570,11067,"25.3937109, 68.2549869","M I G - 9, K. H. B. Colony",Vivek Nursing Home,Karnataka,Bidar
5571,11069,"17.9148799, 77.5046101","Mannalle Road,Gumpa",Sri Sidharoad Charitable Hospital,Karnataka,Bidar
5572,11071,"13.2955371, 77.8009872",Naubagh Main Road,Anugraha Eye Hospital,Karnataka,Vijayapura
5573,11072,"13.2955371, 77.8009872",Shivaji Peth,Bina Eye Hospital,Karnataka,Vijayapura
5574,11073,"13.2955371, 77.8009872",Divatagiri Halli,Chiranjeevi Maternity Home,Karnataka,Vijayapura
5575,11076,"16.831771, 75.7112068",Near Shivaji Circle,Kembhavi Eye and Dental Hospital,Karnataka,Vijayapura
5576,11080,"13.2955371, 77.8009872",Meenaxi Chowk,Shri Sai Hospital,Karnataka,Vijayapura
5577,11082,"16.8451764, 75.7094116","Karanataka Housing Board Complex, Sholapur Road",Vaatsalya Hospital - Bijapur,Karnataka,Vijayapura
5578,11083,"13.2955371, 77.8009872",Jorapur Peth,Vasi Hospital,Karnataka,Vijayapura
5579,11084,"16.8283219, 75.6859428",Athani Rd,Alamin Mc and Hospital,Karnataka,Vijayapura
5580,11085,"16.8301708, 75.710031",Bijapur,Blde Associations Shri B.M. Patil Medical College,Karnataka,Vijayapura
5581,11086,"13.2955371, 77.8009872",Vishal Nagar,Chetana Orthopaedic And Maternity Centre,Karnataka,Vijayapura
5582,11087,"16.8301708, 75.710031",Bijapur,Dhanvantri Surgical Nursing Home,Karnataka,Vijayapura
5583,11093,"16.8403052, 75.7160637",Bldea Road,M/S.Mudanur Multispeciality Hospital,Karnataka,Vijayapura
5584,11096,"11.9498781, 79.8002558","Dhanvantari Nagar,B.Balewadi Road",Dhanvantari Nursing Home,Karnataka,Vijayapura
5585,11097,"18.931092, 72.826454",Near Hotel Samrat Station Road,Dr. Munir Bangi Hospital,Karnataka,Vijayapura
5586,11099,"13.2955371, 77.8009872","Opp Keb, Sindgi",Dr.M.Managuli Hospital,Karnataka,Vijayapura
5587,11100,"13.2955371, 77.8009872","Bijapur Rd, Sindgi",Dr.Wali Orthopeadic Hospital,Karnataka,Vijayapura
5588,11102,"13.2955371, 77.8009872","Bijapur Road, Indi",Girija Hospital,Karnataka,Vijayapura
5589,11106,"10.9614397, 78.0757876","P.B.No.14, Gundlupete",Assissi Hospital,Karnataka,Chamarajanagar
5590,11107,"11.4113932, 76.7095323","Ooty Mysore Road, Gundlupete",V.A.M.Hospital,Karnataka,Chamarajanagar
5591,11108,"11.9276633, 76.9532337",Chamarajnagar,District Hopital Chamarajnagar,Karnataka,Chamarajanagar
5592,11112,"12.2964787, 76.6177137",Siddarthanagar Layout,St Joseph Hospital,Karnataka,Chamarajanagar
5593,11117,"12.1559428, 77.1071655","Southern Extension, Kollegal",Vijayalakshmi Medical Nursing Home,Karnataka,Chamarajanagar
5594,11118,"12.0491263, 77.030539",Elekeri St Near Bus Stand Yelandur,Ashwini Hospital,Karnataka,Chamarajanagar
5595,11125,"13.0343948, 80.1713919",P B No: 77 Naidu Street,Ashraya Hospital,Karnataka,Chikkamagaluru
5596,11130,"17.5040161, 78.3108789",Housing Board Colony Jyothi Nagar,Holy Cross Hospital,Karnataka,Chikkamagaluru
5597,11131,"13.2343586, 75.3557927",Main Road Kalasa,K P Manjunatha Prabhu Memorial Hospital,Karnataka,Chikkamagaluru
5598,11133,"13.5288647, 75.3630796","Upper Pet,Koppa",Adarsh Hospital,Karnataka,Chikkamagaluru
5599,11134,"13.5288647, 75.3630796","Balagadi Road, Koppa",Prashamani Hospital,Karnataka,Chikkamagaluru
5600,11135,"13.5288647, 75.3630796",Vinoba Road Koppa,Shama Childrens Hospital,Karnataka,Chikkamagaluru
5601,11136,"13.6079744, 75.508744",Narasimharajapura,General Hospital,Karnataka,Chikkamagaluru
5602,11137,"13.4197675, 75.2566564",Sringeri,Primary Health Centre,Karnataka,Chikkamagaluru
5603,11138,"13.4197675, 75.2566564",Sringeri,Sharada Dhanvantari Charitable Hospital,Karnataka,Chikkamagaluru
5604,11139,"13.7086667, 75.815859","Nh 206, Near Tnr Rice Mill, Tarikere",Ashirwad Nursing Homes - Tarikere,Karnataka,Chikkamagaluru
5605,11141,"13.7086667, 75.815859","B.H.Road, Tarikere",Vasuda Hospital,Karnataka,Chikkamagaluru
5606,11142,"13.5968033, 75.9724491","Market Road, Birur",Arekal Nursing Home,Karnataka,Chikkamagaluru
5607,11143,"13.5511609, 76.0230343",T B Road Kadur Kadur,Balaji Nursing Home,Karnataka,Chikkamagaluru
5608,11150,"13.5533476, 76.0111179","N.H.206,Kadur",Sri Satya Sai Hospital,Karnataka,Chikkamagaluru
5609,11151,"13.5968033, 75.9724491","B H Road, Birur",Vishvamanava Hospital,Karnataka,Chikkamagaluru
5610,11152,"13.9985538, 77.6308055",Bangalore Hindupur Road,Mansa Hospital - Gowribidanur,Karnataka,Chikkaballapur
5611,11153,"13.680328, 77.6690529",M G Road Gowribidanur,Prasad Hospital,Karnataka,Chikkaballapur
5612,11155,"13.4378453, 77.7282602",Chikkaballapura,Csi Hospital,Karnataka,Chikkaballapur
5613,11160,"10.8238097, 78.687498","Near Park, N.R. Extension, Chintamani",Indira Hospital,Karnataka,Chikkaballapur
5614,11163,"13.3995651, 78.0507499",Polytechnic Road Polytechnic Road Chintamani,Rk Nursing Home,Karnataka,Chikkaballapur
5615,11164,"14.23005, 76.4092496",Turuvanur Road,Basappa Multi Speciality Hospital,Karnataka,Chitradurga
5616,11165,"16.1916584, 81.1250985","N.H. 4 By Pass, Near Housing Board Colony",Basaveshwara Hospital and Research Center Pvt Ltd,Karnataka,Chitradurga
5617,11166,"41.9551248, -70.6631837",V.P.Extension Main Road,Chitradurga Ortha Care Centre,Karnataka,Chitradurga
5618,11168,"14.5974542, 76.7122106",Lakshmi Bazar Lakshmi Bazar,Krishna Nursing Home,Karnataka,Chitradurga
5619,11170,"14.2305594, 76.3984537",Chitradurga,Pampa Shree Surgigal Centre,Karnataka,Chitradurga
5620,11173,"14.2305594, 76.3984537",Holalkere Road,Ravi Nursing Home,Karnataka,Chitradurga
5621,11176,"41.9551248, -70.6631837","V.P. Extension,Main Road",Udaya Nursing Home,Karnataka,Chitradurga
5622,11179,"14.313395, 76.6528225","Somagudda Road, Near T.B., Challakere",Lakshmi Sreenivasa Nursing Home,Karnataka,Chitradurga
5623,11180,"14.313395, 76.6528225","Shanthinagar, Dist - Challakere",Sr. Thirumala Hospital,Karnataka,Chitradurga
5624,11181,"14.0504576, 76.181272","Badravati Road,Holalkere",Sajjan Hospital,Karnataka,Chitradurga
5625,11183,"13.0631528, 74.8469195","Kinnigoli,Near Kinnigoli Church",Concetta Hospital,Karnataka,Dakshina Kannada
5626,11184,"12.8596418, 75.4038798","Jodumarga, Kokkada",Panchami Hithaayurdhama,Karnataka,Dakshina Kannada
5627,11185,"12.7655103, 75.2077356","A.P.M.C. Road, Puttur",Adarsha Hospital,Karnataka,Dakshina Kannada
5628,11186,"12.7589534, 75.2036909","Near Sri Mahamaya Temple, Puttur, Puttur","Chetana Hospital, Puttur",Karnataka,Dakshina Kannada
5629,11187,"12.763441, 75.0978428",Puttur,Community Medical Centre,Karnataka,Dakshina Kannada
5630,11188,"12.7686756, 75.2070644","Main Road, Puttur",Mahaveer Medical Center,Karnataka,Dakshina Kannada
5631,11189,"12.7655103, 75.2077356",Madhava Bhag.A P M C Road Puttur,Puttur City Hospital,Karnataka,Dakshina Kannada
5632,11190,"12.7686756, 75.2070644",Court Road Sampura Puttur Puttur,Sathya Sai Annapurna Nursing Home,Karnataka,Dakshina Kannada
5633,11191,"12.7693269, 75.1939345","Near Mayura Theater, Bolwar,Puttur",Sushrutha Ayurveda Hospital,Karnataka,Dakshina Kannada
5634,11192,"12.7613446, 75.1985246","Oop. Police Station,Main Road,Puttur",Bonanthya Hospital,Karnataka,Dakshina Kannada
5635,11193,"12.7542568, 75.2127038","Main Road, Darbe, Puttur",Dhanvanthari Hospital,Karnataka,Dakshina Kannada
5636,11194,"12.7686756, 75.2070644","Darbe Post, Puttur",Father Patrao Hospital,Karnataka,Dakshina Kannada
5637,11195,"12.7542568, 75.2127038","P.O, Darbe, Main Road Puttur",Girija Clinic Maternity and General Nursing Home,Karnataka,Dakshina Kannada
5638,11196,"12.7537022, 75.2143584","Darbe Puttur, Karnataka",Srinivas Nursing Home,Karnataka,Dakshina Kannada
5639,11197,"12.886995, 75.0260667",Bantwal,Ba Hospital,Karnataka,Dakshina Kannada
5640,11199,"12.886995, 75.0260667",Bantwal,"Somayaji Hospital,",Karnataka,Dakshina Kannada
5641,11200,"12.8997037, 75.0414308","College Road, Bantwal",Sri Navadurga Clinic,Karnataka,Dakshina Kannada
5642,11203,"12.9886641, 75.2725454","Belthangady, Belthangady Tq",Community Health Centre,Karnataka,Dakshina Kannada
5643,11204,"12.9922045, 75.2881258",Laila Villege,Jyothi Hospital,Karnataka,Dakshina Kannada
5644,11205,"12.9886641, 75.2725454",Belthangady,Raghavendra Clinic and Nursing Home,Karnataka,Dakshina Kannada
5645,11206,"13.0142847, 75.3060544","Main Road,Belthangady",Sri Damodar Hospital,Karnataka,Dakshina Kannada
5646,11207,"12.9891427, 75.2787425","Dharmasthala, Belthangady",Community Health Centre,Karnataka,Dakshina Kannada
5647,11209,"12.886995, 75.0260667","Moka Road,Bantwal",Anupam Nursing,Karnataka,Dakshina Kannada
5648,11212,"12.8787679, 75.0289877","Kaikunja, B.C. Road",Prathvi Nursing Home,Karnataka,Dakshina Kannada
5649,11213,"12.8817139, 75.0302321","Main Road, Bantwala Taluk",Pushparaj Hospital,Karnataka,Dakshina Kannada
5650,11218,"12.8947685, 74.8243939","Ashok Nagar, Mangalore",Dr.Geetha V.Shenoy Clinic,Karnataka,Dakshina Kannada
5651,11219,"13.0392917, 75.4067937","Kakkinje, Belthangady Tq",Sri Krishna Hospital,Karnataka,Dakshina Kannada
5652,11222,"12.9141417, 74.8559568","Punjalkatte, Belthangady Tq, Mangalore",Bhats Clinic and Day Care Centre,Karnataka,Dakshina Kannada
5653,11223,"13.7414154, 76.8992584",Jyothi Circle Main Road,Jyothi Hospital,Karnataka,Dakshina Kannada
5654,11224,"12.5580735, 75.3907667",Sullia,"Kvg Hospial,Sullia",Karnataka,Dakshina Kannada
5655,11227,"12.7686756, 75.2070644","Uppinangady,Puttur",Community Health Centre,Karnataka,Dakshina Kannada
5656,11228,"12.7653033, 75.0990746","School Road, Vittal, Dakshina Kannada",Benaka Clinic,Karnataka,Dakshina Kannada
5657,11232,"12.552162, 75.3849382","Kurunjibhag, Sullia",K.V.G. Medical College Hospital,Karnataka,Dakshina Kannada
5658,11235,"12.8566206, 74.8397201","No 19/10/689,Pandeshwara New Road.Mangalore",Earth Ayurveda Hospital,Karnataka,Dakshina Kannada
5659,11236,"12.9141417, 74.8559568",Hospital Mangalore,Government Wenlock District Hospital,Karnataka,Dakshina Kannada
5660,11237,"12.8630031, 74.8396368","Maidan Road, Mangalore",Government Ladygoschen Hospital,Karnataka,Dakshina Kannada
5661,11238,"12.9141417, 74.8559568",Opp Prabhath Talkies K S Road Mangalore,Jayashree Nursing Home,Karnataka,Dakshina Kannada
5662,11241,"12.8676785, 74.8374788","D No-11-1-4,Bhavanthi Street",Mangalore Health Care Centre,Karnataka,Dakshina Kannada
5663,11242,"12.7676565, 75.1960773",Bolwar Puttur,Pragathi Speciality Hospital,Karnataka,Dakshina Kannada
5664,11243,"12.9141417, 74.8559568","Nh-17,Thokkottu, Mangalore",Sahara Hospital,Karnataka,Dakshina Kannada
5665,11245,"12.8682551, 74.8403161",Ghs Road.Mangalore,Tara Clinic,Karnataka,Dakshina Kannada
5666,11246,"12.9141417, 74.8559568",Mangalore,Ullal Gen Hospital andKariram Memeoral Hospital,Karnataka,Dakshina Kannada
5667,11247,"12.9141417, 74.8559568","Mangalore, Mangalore Tq",Wenlock District Hospital,Karnataka,Dakshina Kannada
5668,11249,"12.8728021, 74.8550992","15/23/1421, Bendore, Mangalore",Colaco Hospital,Karnataka,Dakshina Kannada
5669,11250,"12.8669148, 74.85821",Fr Muller Road Kankanady Mangalore,Father Muller Hospital,Karnataka,Dakshina Kannada
5670,11251,"12.8667515, 74.8559817","Highlands, Kankanady, Mangalore",Highland Hospital,Karnataka,Dakshina Kannada
5671,11253,"12.8734259, 74.854562",Upper Bendoor Mangalore,Karnakaka Ayurveda Medical College Hospital,Karnataka,Dakshina Kannada
5672,11254,"12.8728021, 74.8550992",Upper Bendoor P B No-531 Upper Bendoor Mangalore,Mangalore Nursing Home,Karnataka,Dakshina Kannada
5673,11256,"12.9141417, 74.8559568",Kankanadi Mangalore,Minsa Hospital,Karnataka,Dakshina Kannada
5674,11257,"12.8697174, 74.8599277",Pumpwell Kankanady Mangalore,Omega Hospital,Karnataka,Dakshina Kannada
5675,11258,"12.9807123, 74.8031446",Opp Surathkal Municipality Corporation Surathkal Mangalore,Padmavathi Hospital,Karnataka,Dakshina Kannada
5676,11259,"12.7686756, 75.2070644",Main Road Bollar Puttur,Pragathi Speciality Hospital,Karnataka,Dakshina Kannada
5677,11260,"12.885647, 74.8594853",Kadri Mangalore,Sanjeevani Ayurveda Chikithsalaya,Karnataka,Dakshina Kannada
5678,11261,"12.9141417, 74.8559568","Westgate Pride,Opposite Bharath Petrol Pump, Falnir, Mangalore",Sanjeevini Day Care,Karnataka,Dakshina Kannada
5679,11262,"12.9141417, 74.8559568",Upper Bendoor D No: 15-3-149 To 15-3-151 Mangalore Mangalore,Scs Hospital,Karnataka,Dakshina Kannada
5680,11263,"12.879008, 74.8646665","Kadri Temple Road, Mangalore",Tejaswini Hospital,Karnataka,Dakshina Kannada
5681,11264,"12.8685236, 74.8574227","Kankanady P. O Box 535, Highlands,Falnir Road",Unity Health Complex,Karnataka,Dakshina Kannada
5682,11265,"12.8675719, 74.852187","2Nd Floor Westgate Pride,Fainir Road, Mangaloe",Urology Research Centre and Stone Clinic,Karnataka,Dakshina Kannada
5683,11266,"12.9141417, 74.8559568","Ali Hajj Building, Kannkanady,Bendoor Well, Opp Dena Bank, Mangalore",Vasan Eye Care Hospital,Karnataka,Dakshina Kannada
5684,11267,"13.078944, 80.2119443","No. 6-2-47 &I, 7Th Main Road Gandhi Nagar",Bhats Nurshing Home,Karnataka,Dakshina Kannada
5685,11268,"12.9141417, 74.8559568","Kambla Cross Road Kubroli, Alke Mangalore",Hari Ram Memorial Medical Centre,Karnataka,Dakshina Kannada
